Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID
436.039,75.3401,459.898,µm,Spot,Position,1,284
391.134,89.7355,460.75,µm,Spot,Position,1,285
407.714,84.6422,466.164,µm,Spot,Position,1,286
424.742,80.4006,471.31,µm,Spot,Position,1,287
463.937,67.0632,408.935,µm,Spot,Position,1,288
481.043,65.3581,412.841,µm,Spot,Position,1,289
498.113,64.8796,415.991,µm,Spot,Position,1,290
452.836,68.5334,420.623,µm,Spot,Position,1,291
470.103,66.2101,424.806,µm,Spot,Position,1,292
487.341,65.6298,428.158,µm,Spot,Position,1,293
504.102,65.9332,430.866,µm,Spot,Position,1,294
458.725,68.2156,436.393,µm,Spot,Position,1,295
476.359,66.8968,440.27,µm,Spot,Position,1,296
493.299,66.8969,443.185,µm,Spot,Position,1,297
447.36,71.08,448.431,µm,Spot,Position,1,298
465.029,69.2607,452.379,µm,Spot,Position,1,299
482.275,68.9221,455.752,µm,Spot,Position,1,300
499.825,69.244,458.197,µm,Spot,Position,1,301
453.651,72.8905,464.406,µm,Spot,Position,1,302
471.514,71.9616,467.918,µm,Spot,Position,1,303
488.684,72.066,470.631,µm,Spot,Position,1,304
559.541,72.43,408.655,µm,Spot,Position,1,305
515.034,65.4141,418.546,µm,Spot,Position,1,306
532.153,67.3768,420.494,µm,Spot,Position,1,307
549.181,70.3318,421.751,µm,Spot,Position,1,308
566.052,74.788,422.597,µm,Spot,Position,1,309
521.558,67.0653,432.933,µm,Spot,Position,1,310
538.741,69.5072,434.835,µm,Spot,Position,1,311
556.395,73.1338,435.779,µm,Spot,Position,1,312
573.17,78.3432,436.241,µm,Spot,Position,1,313
510.478,67.6099,445.667,µm,Spot,Position,1,314
527.84,69.6664,447.531,µm,Spot,Position,1,315
546.015,72.9229,448.984,µm,Spot,Position,1,316
562.994,77.3497,449.492,µm,Spot,Position,1,317
517.071,70.7346,460.055,µm,Spot,Position,1,318
534.877,73.703,461.704,µm,Spot,Position,1,319
552.197,77.5204,462.756,µm,Spot,Position,1,320
569.504,82.2576,463.127,µm,Spot,Position,1,321
606.851,91.5645,408.621,µm,Spot,Position,1,322
575.737,77.3999,409.226,µm,Spot,Position,1,323
591.494,83.8329,409.442,µm,Spot,Position,1,324
627.703,103.699,420.278,µm,Spot,Position,1,325
613.183,94.5581,421.664,µm,Spot,Position,1,326
582.727,80.3486,422.745,µm,Spot,Position,1,327
598.9,87.1418,422.476,µm,Spot,Position,1,328
619.999,99.4008,434.649,µm,Spot,Position,1,329
589.576,84.1734,435.977,µm,Spot,Position,1,330
605.165,91.0996,435.862,µm,Spot,Position,1,331
625.91,104.895,447.358,µm,Spot,Position,1,332
611.231,96.4392,448.851,µm,Spot,Position,1,333
579.341,82.625,449.836,µm,Spot,Position,1,334
595.266,89.0206,449.59,µm,Spot,Position,1,335
617.338,103.06,460.902,µm,Spot,Position,1,336
601.721,94.887,462.152,µm,Spot,Position,1,337
586.211,88.3844,463.179,µm,Spot,Position,1,338
284.573,165.577,408.688,µm,Spot,Position,1,339
294.82,153.136,416.301,µm,Spot,Position,1,340
306.206,141.941,422.487,µm,Spot,Position,1,341
283.863,162.121,424.396,µm,Spot,Position,1,342
295.375,150.455,432.069,µm,Spot,Position,1,343
307.532,139.578,438.994,µm,Spot,Position,1,344
284.896,159.7,440.265,µm,Spot,Position,1,345
296.148,148.976,447.925,µm,Spot,Position,1,346
274.468,170.329,447.658,µm,Spot,Position,1,347
309.443,138.341,454.962,µm,Spot,Position,1,348
286.017,158.661,455.913,µm,Spot,Position,1,349
298.705,147.959,463.866,µm,Spot,Position,1,350
275.701,169.73,463.62,µm,Spot,Position,1,351
312.2,138.141,471.206,µm,Spot,Position,1,352
287.991,159.028,471.745,µm,Spot,Position,1,353
340.65,117.835,410.056,µm,Spot,Position,1,354
317.499,134.229,413.488,µm,Spot,Position,1,355
353.882,108.128,416.213,µm,Spot,Position,1,356
329.531,123.901,419.896,µm,Spot,Position,1,357
342.688,114.042,426.472,µm,Spot,Position,1,358
318.423,131.197,429.762,µm,Spot,Position,1,359
331.512,121.156,436.474,µm,Spot,Position,1,360
345.131,111.693,443.15,µm,Spot,Position,1,361
320.343,129.28,445.924,µm,Spot,Position,1,362
